Date,Product Name,ASIN,Amazon URL,Cost Price,Sell Price,Net Profit,ROI,Total Fees,Estimated SPM,Sales Rank,FBA Sellers,Supplier URL,Checkout Cost,Recommended Checkout Quantity,Promo Codes,IP Alert,Autoship,PR Assistant,Notes
2024-11-22,"ACTIVATEDYOU Morning Complete Daily Wellness Greens Superfood Drink Mix for Gut Health w/Prebiotics, Probiotics, Antioxidants, Green Superfoods, 10 Billion CFUs, 30 Servings (Apple Cinnamon)",B09JW2BYH4,https://www.amazon.com/dp/B09JW2BYH4,$31.99,$56.85,$11.69,36.54%,$13.17,> 6000,"3,390",8,https://activatedyou.com/o/morning-complete-megasale/?srsltid=AfmBOopCVGUxo-Z9DIzo7fMxBk1BN09Gfny1qbtAb3HuuqeK3bqq5aqA,$191.94,6,"Code: MEGASALE, ACY10",No,No,Lorelie,https://prnt.sc/vM6nkX0KKK4D
2024-11-22,"Zum Patchouli, 32 FZ",B078JZ9VNY,https://www.amazon.com/dp/B078JZ9VNY,$10.80,$27.99,$5.61,51.94%,$11.58,> 300,36341,1,https://www.indigowild.com/products/zum-clean-laundry-soap-32-oz?variant=42466281718010,$108.00,10,Code: WHIFFBLISS,No,No,Sir Kim,https://snipboard.io/BsAtXE.jpg
2024-11-22,rom&nd HAN ALL FIX MASCARA L01 Long Black,B08X46T8CX,https://www.amazon.com/dp/B08X46T8CX,$7.80,$22.00,$7.64,97.95%,$6.56,> 200,"56,605",2,https://www.stylevana.com/en_US/romand-han-all-fix-mascara-7g.html?utm_source=google&utm_medium=cpc&sonid=76463&gad_source=1&gclid=CjwKCAiA9IC6BhA3EiwAsbltOAqqRI-kiktjbNT_z3hpxdJvydiilEpnkvKFoAGct1SLI0mBD_VtnhoCjXEQAvD_BwE,$78.00,10,Code: INF10SCHIKITAS,No,No,Sir Kim,https://snipboard.io/eEXlgP.jpg
2024-11-22,"DR. BRONNER'S, CASTILE LIQ SP,OG3,ALMOND 8 Fl Oz EA 1",B0083LRC1I,https://www.amazon.com/dp/B0083LRC1I,$6.20,$16.89,$3.55,57.26%,$7.14,> 100,53157,2,https://www.drbronner.com/products/almond-pure-castile-liquid-soap?variant=36027940208804,$123.93,20,SMLTLM5W,No,No,Dixie,https://snipboard.io/OHjmM9.jpg
2024-11-22,"SHIMANO Xt Rt-Mt800 Centerlock Disc Rotor Silver, 140Mm",B07VDW3KXW,https://www.amazon.com/dp/B07VDW3KXW,$24.59,$45.01,$9.39,38.19%,$11.03,> 131,28401,6,https://www.merlincycles.com/en-us/shimano-xt-mt800-ice-tec-centrelock-rotor-180696.html,$245.90,10,,No,No,Sir Kim,https://snipboard.io/c2keHa.jpg
2024-11-22,"Dashing Diva Gloss Nail Strips - Fallen Leaves | UV Free, Chip Resistant, Long Lasting Gel Nail Stickers | Contains 32 Nail Wraps, 1 Prep Pad, 1 Nail File",B0C6488RWG,https://www.amazon.com/dp/B0C6488RWG,$5.60,$20.67,$8.71,155.54%,$6.36,> 50,"138,841",1,https://dashingdiva.com/products/fallen-leaves-1?variant=43018168139913,$56.00,10,Code: BFCM30,No,No,Sir Kim,https://snipboard.io/sZgkVb.jpg
2024-11-25,SodaStream Fountain Style - Caffeine Free Diet Cola,B01LOSI60M,https://www.amazon.com/dp/B01LOSI60M,$3.60,$21.10,$8.72,242.22%,$8.78,> 100,"55,609",2,https://sodastream.com/products/diet-caffeine-free-cola?gad_source=1&gclid=Cj0KCQiAuou6BhDhARIsAIfgrn7XItgMm2-dKzMEs2-pyEPkcuoK_oCeys1vj3mFDmleeE16CpHrk5QaAmUpEALw_wcB,$72.00,20,Code: HOLIDAY40,No,No,Sir Kim,https://snipboard.io/NGXaq2.jpg
2024-11-25,Native Shampoo & Conditioner Limited Edition Scents (Sugar Cookie),B0DK13MGC9,https://www.amazon.com/dp/B0DK13MGC9,$14.00,$37.25,$12.52,89.43%,$10.73,> 200,42805,2,https://www.nativecos.com/products/shampoo-strengthening-sugar-cookie?/?utm_source=google&utm_medium=cpc&gad_source=1&gclid=Cj0KCQiAuou6BhDhARIsAIfgrn4oTBuJ5Lri_I_Xswi2kpIR9oEmA6HSHYaEylRYED-dVS4PUUyQ-08aAvTmEALw_wcB https://www.nativecos.com/products/strengthening-conditioner-sugar-cookie?/?utm_source=google&utm_medium=cpc&gad_source=1&gclid=Cj0KCQiAuou6BhDhARIsAIfgrn6qI2UOuT6GyA1w1WdsfHt1Ch52xtQzVHx3X7aMJMd7DsxHQqUv458aAgmTEALw_wcB,$140.00,20,onsale,No,No,Dixie,https://snipboard.io/InPqmu.jpg
2024-11-25,Pyrex Easy Grab 9-1/2-Inch Pie Plate Home improvement / accessories,B00DRAPFY6,https://www.amazon.com/dp/B00DRAPFY6,$4.80,$19.99,$4.82,100.42%,$10.37,> 200,"61,397",4,https://corelle.com/products/pyrex-easy-grab-9-5-glass-pie-plate,$144.00,30,40% SITEWIDE,No,No,Dixie,https://snipboard.io/vGteCW.jpg
2024-11-25,Earth Friendly - ECOS Hypoallergenic Hand Soap Refill Orange Blossom - 32 oz.,B01N6VEFRW,https://www.amazon.com/dp/B01N6VEFRW,$4.43,$17.51,$3.33,75.17%,$9.75,> 100,80559,3,https://www.vitacost.com/ecos-hand-soap-refill-orange-blossom,$53.16,12,"Code: SELECTVEGAN15, GOLDENBEAR",No,No,Sir Kim,https://snipboard.io/NPiDov.jpg
